Region,Gender,1990,1995,2000,2005,2010,2015,2020
Sub-Saharan Africa,T,2.7,2.5,2.1,2.0,1.9,2.2,2.0
Northern Africa and Western Asia,T,6.1,5.9,5.7,5.9,7.5,8.7,9.5
Central and Southern Asia,T,2.1,1.5,1.3,1.1,1.1,1.0,1.0
Eastern and South-Eastern Asia,T,0.4,0.4,0.5,0.6,0.7,0.8,0.8
Latin America and the Caribbean,T,1.6,1.4,1.3,1.3,1.4,1.5,2.3
Oceania (excluding Australia and New Zealand),T,3.7,3.6,3.5,3.3,2.9,2.7,2.5
Australia and New Zealand,T,22.0,21.9,22.2,23.5,25.8,27.2,29.9
Europe and Northern America,T,7.7,8.5,9.4,10.3,11.3,11.9,13.0
